Symbol,Description,,,,,,,,
θr,residual water content,,,,,,,,
θs,saturated water content,,,,,,,,
α,alpha,,,,,,,,
n,n,,,,,,,,
Ks,saturated hydraulic conductivity,,,,,,,,
l,l,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,BOFEK2012,Depth_up,Depth_down,θr, θs,α,n,Ks,l
RM15,311,0,90,0,0.43,0.0224,1.436,32.21,-0.304
RM14,312,0,20,0,0.45,0.0152,1.412,17.81,-0.213
,,20,55,0,0.34,0.0265,1.543,44.6,-0.333
,,55,120,0,0.38,0.0182,1.87,63.9,0.911
RM12,304,0,25,0,0.43,0.0224,1.436,32.21,-0.304
,,25,60,0,0.38,0.0182,1.87,63.9,0.911
,,60,120,0,0.35,0.022,2.186,99.7,0.796
RM03,304,0,25,0,0.43,0.0224,1.436,32.21,-0.304
,,25,60,0,0.38,0.0182,1.87,63.9,0.911
,,60,120,0,0.35,0.022,2.186,99.7,0.796
RM04,305,0,25,0,0.37,0.0208,1.646,33.34,0.571
,,25,90,0,0.35,0.022,2.186,99.7,0.796
RM01,305,0,25,0,0.37,0.0208,1.646,33.34,0.571
,,25,90,0,0.35,0.022,2.186,99.7,0.796
RM08,304,0,25,0,0.43,0.0224,1.436,32.21,-0.304
,,25,60,0,0.38,0.0182,1.87,63.9,0.911
,,60,120,0,0.35,0.022,2.186,99.7,0.796
RM13,309,0,30,0,0.43,0.0224,1.436,32.21,-0.304
,,30,60,0,0.38,0.0182,1.87,63.9,0.911
,,60,120,0,0.35,0.022,2.186,99.7,0.796
RM05,311,0,90,0,0.43,0.0224,1.436,32.21,-0.304
RM07,317,0,90,0,0.45,0.0152,1.412,17.81,-0.213
RM11,304,0,25,0,0.43,0.0224,1.436,32.21,-0.304
,,25,60,0,0.38,0.0182,1.87,63.9,0.911
,,60,120,0,0.35,0.022,2.186,99.7,0.796
RM02,305,0,25,0,0.37,0.0208,1.646,33.34,0.571
,,25,90,0,0.35,0.022,2.186,99.7,0.796
RM06,409,0,20,0,0.4,0.0313,1.2,22.9,-3.578
,,20,40,0,0.44,0.0231,1.212,25.6,-2.22
,,40,65,0,0.41,0.028,1.283,24,-1.559
,,65,120,0,0.33,0.0524,1.912,223,0.873
RM09,304,0,25,0,0.43,0.0224,1.436,32.21,-0.304
,,25,60,0,0.38,0.0182,1.87,63.9,0.911
,,60,120,0,0.35,0.022,2.186,99.7,0.796
RM10,304,0,25,0,0.43,0.0224,1.436,32.21,-0.304
,,25,60,0,0.38,0.0182,1.87,63.9,0.911
,,60,120,0,0.35,0.022,2.186,99.7,0.796
