date,VWC5,VWC_40zone,EV24,FG,Q,rd,SQ,TN,TX,UG,LAI,Crop,BOFEK,VWC5_lag,VWC5_lag3,VWC5_lag40,EV24_lag,FG_lag,Q_lag,rd_lag,SQ_lag,TN_lag,TX_lag,UG_lag,LAI_lag,rd_3day,rd_3day_lag,DOY
2016-05-09,0.1128,0.2053,4.53,418.18,24.68,0,11.77,13.63,25.78,50.19,1.075,sugarbeet,304,NA,NA,NA,4.88,412.15,26.68,0,14.31,12.58,25.76,43.86,1.2,0,0,130
2016-05-10,0.1086,0.2041,1.89,244.97,10.69,0.2,1.02,14.82,22.01,68.89,0.95,sugarbeet,304,0.1128,NA,NA,4.53,418.18,24.68,0,11.77,13.63,25.78,50.19,1.075,0.2,0,131
2016-05-11,0.1021,0.2027,4.15,300.8,22.81,0,10.68,14.03,26.18,59.28,0.825,sugarbeet,304,0.1086,NA,NA,1.89,244.97,10.69,0.2,1.02,14.82,22.01,68.89,0.95,0.2,0.2,132
2016-05-12,0.0911,0.1996,4.53,403.75,25.55,0,13.42,13.52,25.52,51.98,0.7,sugarbeet,304,0.1021,0.1128,NA,4.15,300.8,22.81,0,10.68,14.03,26.18,59.28,0.825,0.2,0.2,133
2016-05-13,0.0846,0.1969,4.41,412.01,25.68,0,12.85,9.03,24.13,57.53,0.575,sugarbeet,304,0.0911,0.1086,NA,4.53,403.75,25.55,0,13.42,13.52,25.52,51.98,0.7,0,0.2,134
2016-05-14,0.0784,0.1945,2.39,390.93,16.9,0,5.59,5.39,13.44,65.22,0.45,sugarbeet,304,0.0846,0.1021,NA,4.41,412.01,25.68,0,12.85,9.03,24.13,57.53,0.575,0,0,135
2016-05-15,0.0746,0.1928,2.62,340.67,18.62,0.1,7.87,4.16,13.48,65.31,0.325,sugarbeet,304,0.0784,0.0911,NA,2.39,390.93,16.9,0,5.59,5.39,13.44,65.22,0.45,0.1,0,136
2016-05-16,0.0731,0.1915,1.92,208.88,13.35,0,2.82,2.7,13.68,71.28,0.2,sugarbeet,304,0.0746,0.0846,NA,2.62,340.67,18.62,0.1,7.87,4.16,13.48,65.31,0.325,0.1,0.1,137
2016-05-17,0.0729,0.1908,2.07,263.97,13.25,0,3.47,7.33,18.96,67.59,0.2625,sugarbeet,304,0.0731,0.0784,NA,1.92,208.88,13.35,0,2.82,2.7,13.68,71.28,0.2,0.1,0.1,138
2016-05-18,0.0728,0.1902,2.23,286.37,13.88,2.7,3.21,8.04,20.5,75.41,0.325,sugarbeet,304,0.0729,0.0746,NA,2.07,263.97,13.25,0,3.47,7.33,18.96,67.59,0.2625,2.7,0.1,139
2016-05-19,0.0773,0.1902,2.76,213.64,17.41,0.5,5.04,8.81,18.9,77.15,0.3875,sugarbeet,304,0.0728,0.0731,NA,2.23,286.37,13.88,2.7,3.21,8.04,20.5,75.41,0.325,3.2,2.7,140
2016-05-20,0.0794,0.1906,1.4,341.29,8.64,0.7,1.28,9.33,17.84,82.4,0.45,sugarbeet,304,0.0773,0.0729,NA,2.76,213.64,17.41,0.5,5.04,8.81,18.9,77.15,0.3875,3.9,3.2,141
