RMSE,MAE,R2,n,model,variant,horizon,station
0.013826118975839387,0.008650824175824178,0.9656335923479362,364,Persistence,univariate,1,RM01
0.12555665800001156,0.11167499999999998,-1.8340861820654566,364,Seasonal Naive,univariate,1,RM01
0.03873632359121253,0.03035446927374302,0.7254956781919829,358,Persistence,univariate,7,RM01
0.12600039704646143,0.11195921787709498,-1.9043985651949304,358,Seasonal Naive,univariate,7,RM01
0.050337606939192814,0.039520512820512825,0.5359229161151405,351,Persistence,univariate,14,RM01
0.12708420554555666,0.11330056980056981,-1.9579317539886656,351,Seasonal Naive,univariate,14,RM01
0.019457477587445246,0.011230494505494504,0.9438561666109486,364,Persistence,univariate,1,RM04
0.09435863707212971,0.07280082417582417,-0.3203598292567411,364,Seasonal Naive,univariate,1,RM04
0.05758542306626453,0.04094189944134078,0.5007522104093063,358,Persistence,univariate,7,RM04
0.0946266205590993,0.07276871508379888,-0.3480862761099144,358,Seasonal Naive,univariate,7,RM04
0.07263487483802146,0.0530920227920228,0.2024962582565294,351,Persistence,univariate,14,RM04
0.09548554894317808,0.07372905982905983,-0.3782171275302568,351,Seasonal Naive,univariate,14,RM04
0.011630902141080226,0.006697527472527472,0.9646787251686072,364,Persistence,univariate,1,RM05
0.06934713622203734,0.05150192307692307,-0.25564429731430693,364,Seasonal Naive,univariate,1,RM05
0.03291143354672596,0.02485921787709497,0.7153949338537083,358,Persistence,univariate,7,RM05
0.06958164169042863,0.05148659217877095,-0.2721501389055525,358,Seasonal Naive,univariate,7,RM05
0.04460601667540741,0.031314814814814816,0.48200578268256,351,Persistence,univariate,14,RM05
0.07003997617152836,0.051954131054131054,-0.27711500051991744,351,Seasonal Naive,univariate,14,RM05
0.018539018846212434,0.010423076923076922,0.8868855265531421,364,Persistence,univariate,1,RM07
0.06644842832132018,0.04856868131868131,-0.45316226809101834,364,Seasonal Naive,univariate,1,RM07
0.05266905105037954,0.03623463687150839,0.07623570152359294,358,Persistence,univariate,7,RM07
0.0666139362924898,0.04873379888268156,-0.4776799516942045,358,Seasonal Naive,univariate,7,RM07
0.05953629169246291,0.04127977207977208,-0.1769287840199727,351,Persistence,univariate,14,RM07
0.06705779558498735,0.049035042735042736,-0.49308718766756643,351,Seasonal Naive,univariate,14,RM07
0.02649842313367776,0.0159989010989011,0.8633007518319059,364,Persistence,univariate,1,RM14
0.07287966400949145,0.055491761363636365,-0.056036212175782474,352,Seasonal Naive,univariate,1,RM14
0.05939041643435252,0.04805251396648045,0.29465120029616676,358,Persistence,univariate,7,RM14
0.07297110968734714,0.05557834757834758,-0.06291494472995973,351,Seasonal Naive,univariate,7,RM14
0.07041806153476103,0.05354444444444444,0.010160585039774683,351,Persistence,univariate,14,RM14
0.07297110968734714,0.05557834757834758,-0.06291494472995973,351,Seasonal Naive,univariate,14,RM14
0.02591098448462367,0.020406073032233442,0.8793016351907742,364,Ridge,univariate,1,RM01
0.03157253907102614,0.02390058951397068,0.8207939874443867,364,Ridge,multivariate,1,RM01
0.043807923896373585,0.03607513738606249,0.6489105897553045,358,Ridge,univariate,7,RM01
0.048823244830670104,0.03976233455020007,0.5639205056705028,358,Ridge,multivariate,7,RM01
0.05293836730089219,0.04508984594934427,0.48672976631862996,351,Ridge,univariate,14,RM01
0.0603863275871969,0.05018828827673687,0.3321449252815848,351,Ridge,multivariate,14,RM01
0.03578396096869015,0.026244229902834156,0.8101083766343902,364,Ridge,univariate,1,RM04
0.037228997708422175,0.025725731758402468,0.7944622146938167,364,Ridge,multivariate,1,RM04
0.05556735073538952,0.04237541709867877,0.5351311882160854,358,Ridge,univariate,7,RM04
0.05616617952215436,0.041752293696656145,0.5250577618277037,358,Ridge,multivariate,7,RM04
0.06297807876047969,0.04737530412434077,0.40045586377426257,351,Ridge,univariate,14,RM04
0.06206502922163967,0.047617173061774,0.41771410144168863,351,Ridge,multivariate,14,RM04
0.0237673029067517,0.017575315106731652,0.8525076929566617,364,Ridge,univariate,1,RM05
0.026986391217354702,0.019775437647864318,0.8098487474809389,364,Ridge,multivariate,1,RM05
0.03671867133178225,0.0266990055461146,0.6457393272514385,358,Ridge,univariate,7,RM05
0.038315687829819485,0.02691101191336137,0.6142532462939756,358,Ridge,multivariate,7,RM05
0.042010207764445105,0.029614505955103836,0.5405400241425743,351,Ridge,univariate,14,RM05
0.04684898672821189,0.032810338170150485,0.4286023747932791,351,Ridge,multivariate,14,RM05
0.03226194817601514,0.023201984305962393,0.6574485069550937,364,Ridge,univariate,1,RM07
0.03190683010658617,0.02265889233244256,0.6649481609660197,364,Ridge,multivariate,1,RM07
0.04526103614009157,0.033476303364175605,0.31781970573237917,358,Ridge,univariate,7,RM07
0.04303460690365474,0.032039419091306774,0.3832830754057246,358,Ridge,multivariate,7,RM07
0.046465533189050355,0.03463635784773936,0.2831166833629971,351,Ridge,univariate,14,RM07
0.04992674441537388,0.03874703682906868,0.17233780354061834,351,Ridge,multivariate,14,RM07
0.03780831974893979,0.028450000371433855,0.7217079378872188,364,Ridge,univariate,1,RM14
0.040810457026562795,0.031738289614366144,0.6757582152659628,364,Ridge,multivariate,1,RM14
0.050416439355663346,0.03997084169680846,0.49170535806032123,358,Ridge,univariate,7,RM14
0.053537351849070595,0.04330684700243938,0.4268280061324474,358,Ridge,multivariate,7,RM14
0.05227650092202858,0.04079555303901969,0.45448131129902813,351,Ridge,univariate,14,RM14
0.06139247271490245,0.0450033885560236,0.2476379802170443,351,Ridge,multivariate,14,RM14
0.02729306518312204,0.02032600679096285,0.8660822380500783,364,XGBoost,univariate,1,RM01
0.026312589249177863,0.019359257428135195,0.875531134694036,364,XGBoost,multivariate,1,RM01
0.05676219395248768,0.04372306279503434,0.4105720403506351,358,XGBoost,univariate,7,RM01
0.053784871125989855,0.04089181219199516,0.47078438381465915,358,XGBoost,multivariate,7,RM01
0.05617416615163364,0.04491159981356727,0.4220659772594477,351,XGBoost,univariate,14,RM01
0.05572977155186891,0.04576013967447471,0.4311738957359317,351,XGBoost,multivariate,14,RM01
0.048860088478064445,0.03198989203696723,0.6459721052818836,364,XGBoost,univariate,1,RM04
0.04214534794604316,0.027746581588800136,0.73659241800342,364,XGBoost,multivariate,1,RM04
0.06431634970386889,0.0476268909120693,0.3772212250740119,358,XGBoost,univariate,7,RM04
0.06598868220460816,0.04690207736172489,0.34441359615838063,358,XGBoost,multivariate,7,RM04
0.0705732591731386,0.05112626999130955,0.24712531786472625,351,XGBoost,univariate,14,RM04
0.06909944908972038,0.05019440881723691,0.27824215323178103,351,XGBoost,multivariate,14,RM04
