,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,p_val_21,p_val_31,p_val_41,p_val_42,p_val_43,p_val_51,p_val_52,p_val_61,p_val_62,p_val_63,p_val_64,p_val_71,p_val_73,p_val_87,p_val_97,p_val_98,p_val_82,p_val_53,p_val_95
0,-268.58470626590116,-268.0799017699209,-268.5847188552971,-268.07991487450516,-268.5846894863451,-268.6037620119979,-249.48785979595982,-267.95565160245883,-263.937534627827,-268.07991794978074,-267.95566726319635,1.0,0.9999937053218292,1.0,0.9999934477293458,1.0,1.0,0.7769386741229116,0.9905173733194693,0.7695647982176154,0.9905236083468044,0.7695698406474986,1.0,1.0,9.767197346723055e-05,0.0007282709347145917,1.0,1.0,1.0,1.0
1,-261.2290080878762,-260.7241972412371,-261.2290299201169,-260.72422458532736,-261.2290380950107,-261.42022702140775,-239.95422618077882,-260.55726824897465,-255.96037179395734,-260.72423153016473,-260.5572994939151,1.0,0.9999890839392352,1.0,0.999986328048334,1.0,0.9999849965452968,0.776918032166223,0.9088188707458368,0.7060883624201464,0.9088287915761504,0.7060980161580949,1.0,1.0,3.3581976987239843e-05,0.0003344333982507149,1.0,1.0,0.9999959125614429,1.0
2,-260.32804185237427,-259.8232515524081,-260.3279565010192,-259.82324387765357,-260.32802162307195,-260.89424367757715,-233.3657779437911,-259.46835403428975,-254.33641991029526,-259.8232313245614,-259.4683462751096,1.0,1.0,1.0,1.0,1.0,1.0,0.7769455289899772,0.7534437520542373,0.5853788335713299,0.753411599017705,0.5853765872562047,1.0,1.0,2.1473242082040086e-06,2.794363860838783e-05,1.0,1.0,0.9999674395037174,1.0
3,-269.55489150589267,-269.05009285480736,-269.55491641742447,-269.0501210029059,-269.55484513760666,-270.06422821781064,-247.67979572667983,-238.14479129390807,-264.5766210904421,-269.05010881382634,-268.8358803427028,1.0,0.9999875443116749,1.0,0.9999859260497779,1.0,1.0,0.7769524391216114,0.7751735370202951,0.6022590073096346,0.7751831924605352,0.6022674835922189,1.0,1.0,1.0,0.00021424021298472115,1.8213821932531639e-06,1.0,1.0,1.0
4,-261.1974217836403,-260.6926555127695,-261.1973977570231,-260.6926507518515,-261.19720924501365,-263.8970280210326,-205.20961377056176,-233.44480659158026,-254.47909176663913,-260.69262575462204,-260.0041979208376,1.0,1.0,1.0,1.0,1.0,1.0,0.7770295751194438,0.2592913052311168,0.20145560304972096,0.2592881903033586,0.20145512349348946,1.0,1.0,7.392745935596894e-07,2.001099991055954e-11,2.7068426380249825e-05,1.0,1.0,1.0
5,-262.050668545571,-261.54587501000304,-262.050660146504,-261.54588071168956,-262.0506582252401,-263.04525419058933,-235.96231843624074,-261.0850214568503,-255.90724751919043,-261.5458639479174,-261.08502939773035,1.0,1.0,1.0,0.9999971491608044,1.0,1.0,0.7769404226980505,0.6081748704430723,0.47251320266378183,0.6081723163976973,0.47251454972678064,1.0,1.0,3.5048896894770298e-06,4.666740785813672e-05,1.0,1.0,1.0,1.0
6,-262.5703436280528,-262.0655500660072,-262.5697490220104,-262.06555223052925,-262.57018435261386,-263.27332986152425,-241.889646094347,-261.5509027796756,-256.3539223163908,-262.0655658501222,-261.5509062580942,1.0,1.0,1.0,0.9999989177395493,1.0,1.0,0.7769982791886656,0.7036366932626424,0.5466809616803957,0.7034275310417297,0.54668155333222,1.0,1.0,5.3778954766776246e-05,0.0007229734120074345,1.0,1.0,0.9997823583856401,1.0
7,-275.6004328368335,-275.09560701922584,-275.6001242954532,-275.0955785979947,-275.6003282131392,-276.2847138900704,-260.81636811516233,-274.9674581580475,-271.2870661138688,-275.09559117437607,-253.22409667683604,1.0,1.0,1.0,1.0,1.0,1.0,0.7769645165083514,0.7102483888915907,0.5518089291766097,0.7101388268337958,0.5518010876877626,1.0,1.0,0.0008455315953890925,0.005324965749888151,1.0,1.0,0.9998980463546222,1.0
8,-262.3587665449577,-261.85398211146634,-262.3587171435694,-261.8539743558131,-262.3585036884037,-262.3494131187986,-238.9998790920172,-261.39786387522923,-256.27450538354583,-261.8539782835909,-261.3978655101734,1.0,1.0,1.0,1.0,1.0,1.0,0.7770420680320724,1.0,0.7805819844044314,1.0,0.7805789574486953,1.0,1.0,1.36879812442823e-05,0.00017736281062701866,1.0,1.0,1.0,1.0
9,-267.0944465030533,-266.5897444324881,-267.0939765517264,-266.58974102039804,-240.43901509815396,-242.83889973122055,-245.26313024452935,-266.3910135754752,-262.05468644276743,-238.3955897248351,-266.3910110231154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.583083394492045e-05,0.00022581869862405864,1.0,1.0,1.0,2.024028419665787e-05
