,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,p_val_21,p_val_31,p_val_41,p_val_42,p_val_43,p_val_51,p_val_52,p_val_61,p_val_62,p_val_63,p_val_64,p_val_71,p_val_73,p_val_87,p_val_97,p_val_98,p_val_82,p_val_53,p_val_95
0,-317.96526117048256,-317.45371803204586,-317.96522105454693,-317.4537297837462,-317.96527575072497,-318.134543238822,-311.38260923125347,-317.38739787261903,-314.98327409303937,-317.4537269660904,-317.6084749605051,1.0,1.0,1.0,0.9999941241670848,1.0,0.9999927099053693,0.7743131819889055,0.9188420581114549,0.7114767044940187,0.9188236281918588,0.7114808850368217,1.0,1.0,0.04966800475545091,0.16524394689717403,1.0,1.0,0.9999726522849355,1.0
1,-313.355939378688,-312.8449726429649,-313.35593712115474,-312.8449551140105,-313.3549874077871,-313.3754822790631,-302.8851375053505,-312.39322925480667,-309.66404243875826,-312.84453595030243,-312.3932290857829,1.0,1.0,1.0,1.0,1.0,1.0,0.774910777230024,0.9902761353125994,0.7670104769585083,0.9902750175225774,0.7670037545421295,1.0,1.0,0.008616762242985222,0.033727138576272964,1.0,1.0,1.0,1.0
2,-315.8302681903201,-315.3192194275827,-315.8302631572002,-315.0122640914086,-315.8302642983831,-316.0118205495332,-308.84416822051304,-315.1835799661883,-313.31007210085977,-315.0323494925607,-314.9726645729614,1.0,1.0,1.0,1.0,1.0,1.0,0.7745117598843063,0.913222085753336,0.7072998684174252,0.9132197875780925,0.6066651855021937,1.0,1.0,0.042015954119566754,0.10721148068116906,1.0,1.0,0.9999994294087096,1.0
3,-318.64401469852453,-318.132751795392,-318.6439443184548,-318.13272066128286,-318.64397049909087,-320.60522909679685,-312.7614336423843,-318.0897667667222,-315.71855133507046,-318.1327156716209,-318.089729767073,1.0,1.0,1.0,1.0,1.0,1.0,0.7744444449976636,0.3750832794492577,0.29047474270048995,0.3750700804878193,0.2904702208995174,1.0,1.0,0.0696573844467399,0.22796598577755456,1.0,1.0,0.9999869097676571,1.0
4,-317.1294662464182,-316.61772618992603,-318.30039970710965,-317.7884994680264,-318.28623898086886,-318.09233406632,-311.9974030671133,-316.4456878545681,-315.4063172551116,-317.7743410668471,-317.7716038355889,1.0,0.5568459042704382,0.7192713374045832,0.5568905045663616,1.0,0.560802566247097,0.43419723244690833,0.6178967479787953,0.47840197969444764,1.0,0.8590593227423917,1.0,1.0,0.10816013768344815,0.1818710982878823,1.0,1.0,1.0,1.0
5,-317.85981913994044,-317.3490647292261,-317.85980127841674,-317.3489733650288,-317.85982216068334,-317.8538929721189,-310.57939778783015,-317.28607996884267,-314.8913550159187,-317.34897714322443,-317.2860866405843,1.0,1.0,1.0,1.0,1.0,0.9999984896296932,0.7746230804593504,1.0,0.7769229309920103,1.0,0.7768874403326989,1.0,1.0,0.034967329701855406,0.11578982160406877,1.0,1.0,0.99998955892121,1.0
6,-317.3412765438362,-316.82960338487936,-317.34125953190073,-316.82957407874085,-317.34126418799565,-317.4626269021695,-308.39400773433124,-316.68366665685835,-314.2036180579368,-316.8295951269883,-316.68366164441574,1.0,1.0,1.0,1.0,1.0,1.0,0.7742732731981284,0.9411288884026212,0.7286864431441502,0.9411208832247016,0.7286757657294605,1.0,1.0,0.01584613810127326,0.054759458796403,1.0,1.0,0.999997671955252,1.0
7,-317.264442176169,-316.75344954278756,-317.264429671303,-316.7534486608591,-317.2644459179539,-317.26404174728054,-309.5067691785756,-316.64894207577544,-314.20795213868024,-316.75345359835046,-316.6489481856702,1.0,1.0,1.0,1.0,1.0,0.999998129109303,0.7745305403314449,1.0,0.7746870774128386,1.0,0.7746867358036134,1.0,1.0,0.02812528040364389,0.09531276993759087,1.0,1.0,0.9999918767075507,1.0
8,-316.7614299327787,-316.2498130213437,-316.7611891003842,-316.24980950254576,-316.761411467497,-316.7102561036114,-307.4887140883412,-316.043014944512,-313.50623733211256,-316.249811734705,-316.0430159700402,1.0,1.0,1.0,1.0,1.0,1.0,0.7742974142393856,1.0,0.7943576001247503,1.0,0.7943562025340365,1.0,1.0,0.013882164002630338,0.049352758308639784,1.0,1.0,0.9998888226242494,1.0
9,-317.1482910376358,-316.63661284488495,-317.14817995733534,-316.6365901152176,-317.1482588914767,-317.6325177611453,-308.19985412815754,-316.47369375951916,-313.9781518090116,-316.6365966406687,-316.4736870473701,1.0,1.0,1.0,1.0,1.0,1.0,0.7742789860104804,0.7849671872500887,0.607773828919898,0.7849235912652708,0.6077669217106656,1.0,1.0,0.015971972433954575,0.05562353697431208,1.0,1.0,0.9999605337081363,1.0
