"sample","filename","date_made","experiment","batch","TU_IMI","TU_CLO","TU_CYPRO","conc_IMI","conc_CLO","conc_CYPRO"
1,"quants/1_quant.sf","04-05-21",1,1,"0","0","0",0,0,0
2,"quants/2_quant.sf","04-05-21",1,1,"0","0","0",0,0,0
4,"quants/4_quant.sf","04-05-21",1,1,"0","0","0",0,0,0
8,"quants/8_quant.sf","04-05-21",1,1,"0","1:5","0",0,0.048,0
9,"quants/9_quant.sf","04-05-21",1,1,"0","1:5","0",0,0.048,0
10,"quants/10_quant.sf","18-03-21",1,2,"0","1:5","0",0,0.048,0
11,"quants/11_quant.sf","04-05-21",1,1,"0","2:5","0",0,0.096,0
13,"quants/13_quant.sf","18-03-21",1,2,"0","2:5","0",0,0.096,0
14,"quants/14_quant.sf","04-05-21",1,1,"0","2:5","0",0,0.096,0
16,"quants/16_quant.sf","04-05-21",1,1,"0","3:5","0",0,0.144,0
19,"quants/19_quant.sf","04-05-21",1,1,"0","3:5","0",0,0.144,0
20,"quants/20_quant.sf","04-05-21",1,1,"0","3:5","0",0,0.144,0
21,"quants/21_quant.sf","04-05-21",1,1,"0","4:5","0",0,0.192,0
22,"quants/22_quant.sf","04-05-21",1,1,"0","4:5","0",0,0.192,0
24,"quants/24_quant.sf","04-05-21",1,1,"0","4:5","0",0,0.192,0
27,"quants/27_quant.sf","04-05-21",1,1,"0","1","0",0,0.24,0
28,"quants/28_quant.sf","04-05-21",1,1,"0","1","0",0,0.24,0
29,"quants/29_quant.sf","04-05-21",1,1,"0","1","0",0,0.24,0
31,"quants/31_quant.sf","04-05-21",1,1,"1:5","0","0",0.08,0,0
32,"quants/32_quant.sf","04-05-21",1,1,"1:5","0","0",0.08,0,0
33,"quants/33_quant.sf","04-05-21",1,1,"1:5","0","0",0.08,0,0
36,"quants/36_quant.sf","18-03-21",1,2,"1:5","1:5","0",0.08,0.048,0
37,"quants/37_quant.sf","04-05-21",1,1,"1:5","1:5","0",0.08,0.048,0
38,"quants/38_quant.sf","04-05-21",1,1,"1:5","1:5","0",0.08,0.048,0
41,"quants/41_quant.sf","04-05-21",1,1,"1:5","2:5","0",0.08,0.096,0
42,"quants/42_quant.sf","18-03-21",1,2,"1:5","2:5","0",0.08,0.096,0
43,"quants/43_quant.sf","04-05-21",1,1,"1:5","2:5","0",0.08,0.096,0
46,"quants/46_quant.sf","04-05-21",1,1,"1:5","3:5","0",0.08,0.144,0
49,"quants/49_quant.sf","18-03-21",1,2,"1:5","3:5","0",0.08,0.144,0
50,"quants/50_quant.sf","04-05-21",1,1,"1:5","3:5","0",0.08,0.144,0
51,"quants/51_quant.sf","18-03-21",1,2,"1:5","4:5","0",0.08,0.192,0
53,"quants/53_quant.sf","04-05-21",1,1,"1:5","4:5","0",0.08,0.192,0
54,"quants/54_quant.sf","04-05-21",1,1,"1:5","4:5","0",0.08,0.192,0
56,"quants/56_quant.sf","04-05-21",1,1,"2:5","0","0",0.16,0,0
57,"quants/57_quant.sf","04-05-21",1,1,"2:5","0","0",0.16,0,0
59,"quants/59_quant.sf","04-05-21",1,1,"2:5","0","0",0.16,0,0
61,"quants/61_quant.sf","04-05-21",1,1,"2:5","1:5","0",0.16,0.048,0
63,"quants/63_quant.sf","04-05-21",1,1,"2:5","1:5","0",0.16,0.048,0
64,"quants/64_quant.sf","04-05-21",1,1,"2:5","1:5","0",0.16,0.048,0
66,"quants/66_quant.sf","04-05-21",1,1,"2:5","2:5","0",0.16,0.096,0
67,"quants/67_quant.sf","04-05-21",1,1,"2:5","2:5","0",0.16,0.096,0
69,"quants/69_quant.sf","04-05-21",1,1,"2:5","2:5","0",0.16,0.096,0
71,"quants/71_quant.sf","04-05-21",1,1,"2:5","3:5","0",0.16,0.144,0
72,"quants/72_quant.sf","04-05-21",1,1,"2:5","3:5","0",0.16,0.144,0
73,"quants/73_quant.sf","04-05-21",1,1,"2:5","3:5","0",0.16,0.144,0
76,"quants/76_quant.sf","04-05-21",1,1,"2:5","4:5","0",0.16,0.192,0
77,"quants/77_quant.sf","04-05-21",1,1,"2:5","4:5","0",0.16,0.192,0
79,"quants/79_quant.sf","04-05-21",1,1,"2:5","4:5","0",0.16,0.192,0
81,"quants/81_quant.sf","04-05-21",1,1,"3:5","0","0",0.24,0,0
82,"quants/82_quant.sf","04-05-21",1,1,"3:5","0","0",0.24,0,0
84,"quants/84_quant.sf","18-03-21",1,2,"3:5","0","0",0.24,0,0
86,"quants/86_quant.sf","04-05-21",1,1,"3:5","1:5","0",0.24,0.048,0
87,"quants/87_quant.sf","04-05-21",1,1,"3:5","1:5","0",0.24,0.048,0
89,"quants/89_quant.sf","04-05-21",1,1,"3:5","1:5","0",0.24,0.048,0
91,"quants/91_quant.sf","18-03-21",1,2,"3:5","2:5","0",0.24,0.096,0
93,"quants/93_quant.sf","04-05-21",1,1,"3:5","2:5","0",0.24,0.096,0
95,"quants/95_quant.sf","04-05-21",1,1,"3:5","2:5","0",0.24,0.096,0
98,"quants/98_quant.sf","04-05-21",1,1,"3:5","3:5","0",0.24,0.144,0
99,"quants/99_quant.sf","18-03-21",1,2,"3:5","3:5","0",0.24,0.144,0
100,"quants/100_quant.sf","04-05-21",1,1,"3:5","3:5","0",0.24,0.144,0
101,"quants/101_quant.sf","18-03-21",1,2,"3:5","4:5","0",0.24,0.192,0
102,"quants/102_quant.sf","04-05-21",1,1,"3:5","4:5","0",0.24,0.192,0
104,"quants/104_quant.sf","04-05-21",1,1,"3:5","4:5","0",0.24,0.192,0
107,"quants/107_quant.sf","04-05-21",1,1,"4:5","0","0",0.32,0,0
108,"quants/108_quant.sf","04-05-21",1,1,"4:5","0","0",0.32,0,0
109,"quants/109_quant.sf","18-03-21",1,2,"4:5","0","0",0.32,0,0
111,"quants/111_quant.sf","18-03-21",1,2,"4:5","1:5","0",0.32,0.048,0
112,"quants/112_quant.sf","04-05-21",1,1,"4:5","1:5","0",0.32,0.048,0
113,"quants/113_quant.sf","04-05-21",1,1,"4:5","1:5","0",0.32,0.048,0
116,"quants/116_quant.sf","04-05-21",1,1,"4:5","2:5","0",0.32,0.096,0
117,"quants/117_quant.sf","04-05-21",1,1,"4:5","2:5","0",0.32,0.096,0
120,"quants/120_quant.sf","04-05-21",1,1,"4:5","2:5","0",0.32,0.096,0
121,"quants/121_quant.sf","04-05-21",1,1,"4:5","3:5","0",0.32,0.144,0
122,"quants/122_quant.sf","04-05-21",1,1,"4:5","3:5","0",0.32,0.144,0
124,"quants/124_quant.sf","04-05-21",1,1,"4:5","3:5","0",0.32,0.144,0
127,"quants/127_quant.sf","04-05-21",1,1,"4:5","4:5","0",0.32,0.192,0
128,"quants/128_quant.sf","04-05-21",1,1,"4:5","4:5","0",0.32,0.192,0
129,"quants/129_quant.sf","04-05-21",1,1,"4:5","4:5","0",0.32,0.192,0
132,"quants/132_quant.sf","04-05-21",1,1,"1","0","0",0.4,0,0
133,"quants/133_quant.sf","18-03-21",1,2,"1","0","0",0.4,0,0
135,"quants/135_quant.sf","04-05-21",1,1,"1","0","0",0.4,0,0
136,"quants/136_quant.sf","04-05-21",1,1,"1","1","0",0.4,0.24,0
139,"quants/139_quant.sf","04-05-21",1,1,"1","1","0",0.4,0.24,0
140,"quants/140_quant.sf","04-05-21",1,1,"1","1","0",0.4,0.24,0
202,"quants/202_quant.sf","04-05-21",2,1,"0","0","0",0,0,0
203,"quants/203_quant.sf","04-05-21",2,1,"0","0","0",0,0,0
204,"quants/204_quant.sf","04-05-21",2,1,"0","0","0",0,0,0
206,"quants/206_quant.sf","04-05-21",2,1,"1:5","0","0",0.08,0,0
207,"quants/207_quant.sf","18-03-21",2,2,"1:5","0","0",0.08,0,0
209,"quants/209_quant.sf","04-05-21",2,1,"1:5","0","0",0.08,0,0
212,"quants/212_quant.sf","04-05-21",2,1,"2:5","0","0",0.16,0,0
213,"quants/213_quant.sf","04-05-21",2,1,"2:5","0","0",0.16,0,0
214,"quants/214_quant.sf","04-05-21",2,1,"2:5","0","0",0.16,0,0
217,"quants/217_quant.sf","04-05-21",2,1,"3:5","0","0",0.24,0,0
218,"quants/218_quant.sf","04-05-21",2,1,"3:5","0","0",0.24,0,0
220,"quants/220_quant.sf","04-05-21",2,1,"3:5","0","0",0.24,0,0
222,"quants/222_quant.sf","04-05-21",2,1,"4:5","0","0",0.32,0,0
223,"quants/223_quant.sf","18-03-21",2,2,"4:5","0","0",0.32,0,0
224,"quants/224_quant.sf","18-03-21",2,2,"4:5","0","0",0.32,0,0
226,"quants/226_quant.sf","04-05-21",2,1,"1","0","0",0.4,0,0
227,"quants/227_quant.sf","04-05-21",2,1,"1","0","0",0.4,0,0
230,"quants/230_quant.sf","04-05-21",2,1,"1","0","0",0.4,0,0
231,"quants/231_quant.sf","04-05-21",2,1,"0","0","1:5",0,0,50
