,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,gene_id,p_val_21,p_val_31,p_val_41,p_val_42,p_val_43,p_val_51,p_val_52,p_val_61,p_val_62,p_val_63,p_val_64,p_val_71,p_val_73,p_val_87,p_val_97,p_val_98,p_val_82,p_val_53,p_val_95
0,-30.486888923186427,-30.486711101646108,-30.698157262305443,-30.69794772337397,-31.898490460426387,-31.905560409050366,-29.52130973986533,-30.487068731742824,-30.4723217796614,-31.89851300014061,-30.697970264879046,Fcan01_00001,1.0,0.8997537451843187,0.899848016841805,0.8997680142182012,1.0,0.49371306599145226,0.4936691715338912,0.4919708840840217,0.49192714451831,0.5467839247318044,0.5467266414729579,1.0,1.0,0.6170041704022418,0.6215704498574732,1.0,0.9998212009381001,0.5487202122068553,1.0
1,-29.91379142687262,-29.911879526030816,-29.913184991956967,-29.914409879862944,-29.913191991926396,-29.913976130446486,-29.95328905247385,-29.91181744736653,-29.896397956071922,-29.914408925212854,-29.911088648935845,Fcan01_00002,1.0,1.0,0.9996908213104231,0.9987356230828348,1.0,1.0,0.9993439823259582,0.9999076524773626,0.998952247068972,0.9996045089824396,1.0,0.9804449175917562,0.9801476746432082,1.0,1.0,1.0,1.0,0.9999965000214105,1.0
2,-62.38779532960422,-62.38031113151723,-69.0308476498331,-69.02277575246069,-69.09316044086128,-71.9330328721455,-65.40125084436556,-62.387536094081696,-68.89461679944682,-69.00154784660154,-69.03045481744024,Fcan01_00003,1.0,0.03609769882573839,0.03624368167738037,0.03610830768026893,1.0,0.034990364491818964,0.034859671767393026,0.00845820103772559,0.008426608759296449,0.2343141339440376,0.2333703599158455,0.22163403300010037,1.0,1.0,0.17435131256750602,0.03863717617433926,0.9963940358782064,0.969323963301232,1.0
3,-44.262694956955414,-44.415543279624444,-74.87607170474104,-75.78795348804508,-74.08881304568973,-75.5457441316631,-45.14426417956031,-44.41510705826903,-75.92330989156349,-75.92266235229386,-75.78848831323586,Fcan01_00004,0.9264231703216382,2.2510736429868124e-07,1.4268459592678488e-07,1.5401665296998892e-07,1.0,3.3368812276785134e-07,3.6018974207218993e-07,1.6105424755897584e-07,1.7384522831295383e-07,0.7154552586972807,1.0,0.6435313010153421,1.0,1.0,2.0721211545412185e-07,1.439065916927726e-07,1.0,1.0,0.3996171069508009
4,-47.464813143388966,-48.01915263064319,-47.80352652724551,-49.5054089683089,-47.7859473713163,-47.732288378684245,-47.00375990476442,-48.020311031612295,-48.3724271502696,-48.3708575031238,-48.39661416247685,Fcan01_00005,0.7579258331108758,0.8442077275935234,0.3604875304475422,0.4756237545934219,1.0,0.8516606633310332,1.0,0.8748195717098262,1.0,1.0,1.0,1.0,1.0,0.6015319887068702,0.5044262557821311,0.8385692951533801,0.9994209672196692,1.0,0.7458431993002559
5,-17.678154072623613,-18.33403733848519,-18.4100809541425,-18.338124024732878,-18.410081183207495,-18.41008128104636,-18.326857546382826,-18.33403735840443,-18.841463727328033,-19.089579453548225,-19.089583726132048,Fcan01_00006,0.7204050664105899,0.6935281556089575,0.7189345345839586,0.9979587430805307,1.0,0.6935280761774505,0.9626918361817557,0.6935280422504517,0.962691789087419,0.999999836548084,0.9646609098445807,0.722995893331006,1.0,0.9964165299979221,0.7731338487467383,0.7759143144166332,0.9999999900403793,0.9999998854675093,0.8059840932756479
6,-34.24658921011354,-35.21172593756609,-34.24658342203452,-35.21245885791791,-34.24658125142943,-34.24658807483246,-32.68806999897535,-35.21181323754868,-35.211775010624336,-35.21257517203054,-35.21189806881378,Fcan01_00007,0.6171961701419877,1.0,0.6169700337624251,0.9996336069624175,1.0,1.0,1.0,1.0,1.0,0.9999976736037357,1.0,1.0,1.0,0.28312363065740664,0.28312904218192786,1.0,0.999956350961349,1.0,0.6171785705064434
7,-32.030806930680455,-32.03073953456004,-32.030669866705125,-32.03074062476736,-32.03080808706841,-32.03076044128096,-31.75483842501643,-32.03071908609266,-32.023654120963386,-32.02529293218336,-32.023993376126214,Fcan01_00008,1.0,1.0,1.0,0.9999994548964886,1.0,0.999999421806191,0.9999657243332407,1.0,0.9999895466941763,0.9999547137375357,0.9999900917922867,1.0,1.0,0.871150671286764,0.8742334375476164,1.0,1.0,0.9999308922064122,1.0
8,-54.04090216866854,-75.60006275303078,-54.04086496523141,-75.59979331205383,-54.040867311198696,-54.04090278621004,-73.80951701229048,-75.59958273417342,-75.60012940051939,-75.5996122662144,-75.60007706722658,Fcan01_00009,2.082033734078845e-05,1.0,2.082314245575418e-05,1.0,1.0,1.0,1.0,0.9999996912292964,1.0,0.9999810896894855,1.0,5.09682625541282e-05,5.0967314465670485e-05,0.4085941716310787,0.4084825045515378,0.9997267041791241,1.0,0.9999988270170435,2.0819280683864306e-05
9,-76.16226848671863,-76.17435132042476,-76.59031065593604,-76.58145421384785,-76.59031509307783,-76.5900992060489,-76.59024712889189,-76.1743488850613,-75.76306774635526,-76.58145273895826,-76.58140016852556,Fcan01_00010,0.9939767958105089,0.8073313625773528,0.8109143315410472,0.8158282315633045,1.0,0.8073295714574731,0.8122217488982327,0.807416722152339,0.8123094277004272,1.0,0.9956868324400414,0.8073570066721801,1.0,1.0,1.0,1.0,1.0,0.9999977814315625,1.0
