,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,p_val_21,p_val_31,p_val_41,p_val_42,p_val_43,p_val_51,p_val_52,p_val_61,p_val_62,p_val_63,p_val_64,p_val_71,p_val_73,p_val_87,p_val_97,p_val_98,p_val_82,p_val_53,p_val_95
0,-238.23435646373224,-238.2334089190374,-238.23436296141438,-238.30105615879842,-238.23439288591106,-238.27423607513103,-234.89824163663457,-238.23295615765005,-238.10979879895626,-238.23341468235122,-238.3006760647372,1.0,0.9999967511642093,0.9672001278140044,0.9667420036708704,1.0,0.9999817890764093,0.9995081375671754,0.9802576774561886,0.9797933684723279,0.9802608621627619,1.0,1.0,1.0,0.18874521153840892,0.2007332069600501,1.0,1.0,0.9999850378635905,1.0
1,-224.76166354693305,-227.62579505426143,-224.96033766857738,-227.82785473767487,-225.06380954936276,-225.02351887524304,-225.74432997801932,-227.87372231975033,-228.11400126774544,-227.92187110610473,-228.06627361342348,0.23881507921539497,0.9054374690866452,0.2158663969362236,0.9039060583838876,1.0,0.8597849310236985,1.0,0.877281230975072,1.0,0.9689031666206883,1.0,0.6118101753722573,0.6757067122364809,0.3448326090458663,0.30579643458364064,0.8867967430045649,0.8834119675673493,0.9495795793507436,0.21760019688652976
2,-245.52981312130564,-245.65491762506554,-245.52980701331637,-245.65939644892984,-245.52978714701845,-247.4672765122766,-240.7840898037968,-245.62079315871262,-245.4843418546591,-245.65483120654008,-245.59223943327072,0.9393639779972923,1.0,0.937262708778162,0.9977630936800341,1.0,1.0,1.0,0.37956413585673565,0.4040650320293947,0.37956297667167205,0.40497091402638263,1.0,1.0,0.08906830983088224,0.09535714403307703,1.0,1.0,1.0,1.0
3,-229.68919549895503,-229.67986535824608,-230.15690279297186,-230.1447768229339,-229.8704750803821,-230.18701923922976,-227.04761025513565,-229.67533338793305,-228.82634151159004,-229.94583518585958,-230.1398389486716,1.0,0.7914776425403464,0.7962909363494297,0.7925848344430797,1.0,0.9133466475969054,0.9090957443185943,0.7796486806882077,0.7760200352649301,0.9850545849732759,0.97910028244511,1.0,1.0,0.26878013747146867,0.41091634381730013,1.0,1.0,1.0,1.0
4,-236.20724627027286,-236.2035856822756,-236.20724170396676,-236.23875663909152,-236.20721992859126,-237.88283285286283,-232.11784687114255,-236.28549777542537,-236.3751207207831,-236.23874129389566,-236.28549500885978,1.0,1.0,0.9843682792605214,0.9825682437061848,1.0,1.0,0.9981845268109003,0.4326642346936387,0.43187305620694105,0.43266324685609847,0.43953492184720244,1.0,1.0,0.12445321060588914,0.11899938846656145,0.9561777304677298,0.9598713186527418,1.0,0.9194768646061355
5,-240.94207173006205,-240.88200368547595,-240.99800004706609,-240.8829535559334,-240.993561332101,-242.22370658277515,-235.67256234928237,-240.939585736261,-240.73544931924002,-240.9409931743823,-240.8760943014937,1.0,0.9724232192815142,1.0,0.9995251775351598,1.0,0.9745837706605371,0.9457482902335328,0.5268615774347045,0.511273069641719,0.5418027531510221,0.5115159489053833,1.0,1.0,0.07182578868789838,0.07954411663748441,1.0,0.9716194870535084,1.0,1.0
6,-232.1169355286876,-232.11606711737386,-232.1226650009326,-232.03175726715023,-232.6210199053298,-233.3590965633941,-230.5785410732551,-232.1150628007801,-232.4851822395138,-232.1160798137664,-232.12557846520522,1.0,0.9971393633184819,1.0,1.0,1.0,0.7772119481100458,0.7768745515406376,0.5373634932115352,0.5371302175914477,0.538905104922534,0.5149581477518632,1.0,1.0,0.4638190117363381,0.3854589475344727,0.8310546523125064,1.0,0.7794416474779241,1.0
7,-238.1944158600257,-238.19378585867986,-238.89477300908845,-238.19374851529852,-238.86401406123207,-240.22153986307376,-238.7554857304732,-238.19368368251276,-238.90391303160064,-238.19376239613686,-238.81887327220588,1.0,0.7045622616085124,1.0,1.0,1.0,0.7154818117793246,0.7152564700204131,0.36292393884899926,0.3628096355677908,0.5151055607497987,0.3628028613617472,0.7553795542275207,1.0,1.0,0.928473303804213,0.701093041073876,1.0,1.0,0.9802481891127326
8,-227.2371785009986,-227.23622918991185,-227.23713516622172,-227.2362234948977,-227.2371762556835,-227.37920285743968,-222.8565495723415,-227.23538879871097,-227.0817040833852,-227.2362287658696,-227.23538310466515,1.0,1.0,1.0,1.0,1.0,1.0,0.9995265792131818,0.9314505486483151,0.931008535392343,0.9314303667661119,0.9310058843427247,1.0,1.0,0.1119817224757947,0.12092590751544828,1.0,1.0,0.9999794554801543,1.0
9,-237.48122186588012,-237.94657301108703,-237.55478249547144,-238.0305604937533,-237.61723146904146,-238.08366256054398,-236.8848322294699,-237.85859625884174,-236.97837004492752,-238.1033953521622,-237.9419750650643,0.7924106115386688,0.9638878639937355,0.759823344675694,0.9588757818377794,1.0,0.9342559876609522,1.0,0.7399147165492176,0.9337516506909,0.7676356806521909,0.9737983463314439,1.0,1.0,0.614539535307529,0.954307905291831,1.0,1.0,0.9692579630476851,1.0
10,-227.8465758800186,-229.9737881249627,-229.26454954372184,-231.50029542948087,-229.2055753642146,-229.19034019543278,-224.41056279018733,-229.7738144072514,-231.0381101156172,-231.4518814666264,-231.31141863424514,0.3452086982178256,0.4921425681261796,0.16091809426298714,0.4661472758182019,1.0,0.5068704949223487,1.0,0.5107463673430332,1.0,1.0,1.0,1.0,1.0,0.06845177415907786,0.036378633708444366,0.5314490990971626,1.0,1.0,0.40000934257824694
11,-220.33530177743506,-220.2910700875881,-220.39506507517632,-220.29180974310825,-220.33545328508754,-220.3352630225404,-217.22216301732922,-220.28293073526947,-218.86550760068025,-220.29099413873163,-220.43266683127285,1.0,0.9705603936701762,1.0,0.9996302406177888,1.0,0.9999242490430109,0.9780528233997465,1.0,0.9781458712362627,1.0,0.9785076836328518,1.0,1.0,0.21645256410873184,0.43969573982004106,1.0,1.0,1.0,1.0
12,-236.21204130437212,-236.35705635193244,-236.21198857572605,-236.35705072630645,-236.21202656118905,-236.56522904430426,-231.90098263572668,-236.31342677409796,-236.23062775646633,-236.35704420892276,-236.2627124411017,0.93005874907639,1.0,0.9300613651614039,1.0,1.0,1.0,1.0,0.838120101157034,0.9011474834136475,0.8380980049792224,0.9011449486578615,1.0,1.0,0.11011587382827763,0.11477029758978347,1.0,1.0,0.9999810074488631,0.9907425191454187
13,-234.0264993662966,-234.02588877403264,-234.75011466611858,-234.02588381601123,-234.02647896573723,-234.7999574197803,-229.8405077233259,-234.0250919071988,-233.89649338821522,-233.97686291044639,-234.02508694737114,1.0,0.6964163106987513,1.0,1.0,1.0,1.0,0.9997049476842039,0.6792751353871074,0.6790677869686665,0.9753865969990775,0.6790661035544409,1.0,1.0,0.12340395818936208,0.1315993982796244,1.0,1.0,1.0,1.0
14,-229.3649074243028,-230.58202858941505,-229.36489502303758,-230.58201683328923,-231.1279027368719,-231.77628544474268,-214.77964391468353,-230.31610494895813,-231.1459314649205,-232.51640325667574,-230.31609261563423,0.5441335409542333,1.0,0.5441367394148175,1.0,1.0,0.4141621743887558,0.7611406818672668,0.2994855797835648,0.5503898533039602,0.2994837227892693,0.5503866180872872,1.0,1.0,0.0004229610273286996,0.0002793224314543009,0.6603975624383679,1.0,0.4141596063292322,0.9910261435470428
15,-225.5717768299195,-225.52054134531832,-225.5717709084583,-225.51962716854467,-225.5717764801115,-225.57231473827335,-221.7204253048422,-225.41678313942697,-225.32783505432016,-225.52017092037423,-225.41698091058595,1.0,1.0,1.0,1.0,1.0,1.0,0.974707778373283,0.999731081988001,0.9744454914608253,0.9997281220579789,0.974000185522925,1.0,1.0,0.15752376908266275,0.16468760960079834,1.0,1.0,0.999997214177271,1.0
16,-245.54758124375525,-248.8494672325924,-245.86000720152737,-249.18296746234734,-245.80192533672704,-245.64883188400378,-241.60432304492127,-248.40673538920274,-248.75100814298895,-249.1579081646626,-248.4067466962709,0.1918688919910873,0.8553769937304021,0.16239995809406826,0.8464110904523912,1.0,0.8805821584978843,1.0,0.9506347875373837,1.0,1.0,1.0,1.0,1.0,0.03333304031866864,0.028061898471208047,0.8418643544942873,1.0,1.0,0.22888366831417864
17,-236.56866630150714,-236.5068234354448,-236.5686600716408,-236.50672185607147,-236.56865188871313,-236.92860994132988,-233.9214109196132,-236.49561968873573,-236.48585792778965,-236.50670170286236,-236.4954027820085,1.0,1.0,1.0,1.0,1.0,1.0,0.9695587318253738,0.8352937497315118,0.8098605124939484,0.8352911478513607,0.8098193809768113,1.0,1.0,0.27606901654992827,0.2774197701739294,1.0,1.0,1.0,1.0
