,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,p_val_21,p_val_31,p_val_41,p_val_42,p_val_43,p_val_51,p_val_52,p_val_61,p_val_62,p_val_63,p_val_64,p_val_71,p_val_73,p_val_87,p_val_97,p_val_98,p_val_82,p_val_53,p_val_95
0,-253.56783539555778,-253.5607773470154,-253.7630685719283,-253.76212570218186,-253.76306625825566,-253.7630394344263,-252.3366407385932,-253.56666361883902,-253.462141251908,-253.76212354425599,-253.56667584997422,1.0,0.9069965903047469,0.907424280933525,0.9042276025173261,1.0,0.9069976395519508,0.9038024641099666,0.9070098042084823,0.9038145859127903,1.0,0.9995432382252144,1.0,1.0,0.5406347103464006,0.5696402506265599,1.0,0.9970611908668845,1.0,1.0
1,-245.5898123695058,-248.9778652059435,-245.58942600532842,-248.97786522539332,-245.5893733574901,-245.58988121951373,-246.2411464981691,-248.97713309092802,-248.8624162733715,-248.97786522927518,-247.11452705767326,0.18377806493369825,1.0,0.18377806314647235,0.9999999902750858,1.0,1.0,1.0,0.9999655755885734,1.0,0.9997724188078752,1.0,0.7220455421333257,0.7219060693396209,0.2546173888774388,0.2696488053446636,1.0,1.0,1.0,0.19465598499263417
2,-265.9254765192167,-266.54145866481457,-266.13400968687006,-266.86686621810475,-266.13401392935043,-266.133793123145,-264.539134993599,-266.52681739980886,-266.5950211351616,-266.86680668821407,-267.0218115523317,0.7349218787751686,0.9009850773535403,0.6245681366496052,0.8498428944454878,1.0,0.9009831661498141,1.0,0.9010826429780332,1.0,1.0,1.0,1.0,1.0,0.3701521272537611,0.3577420543764159,0.9664730472591953,1.0,0.9999978787620637,0.7941335738088001
3,-248.10546273374223,-248.08494222821173,-248.10542915677752,-248.08508940724317,-248.1054245144258,-249.94796181139225,-247.52306704599053,-248.08129785767818,-246.73784788015132,-248.0849964025313,-248.08268559190793,1.0,1.0,1.0,0.99992641319192,1.0,1.0,0.9898111188395197,0.3980213870539409,0.3939584659583517,0.39801470493499874,0.39398745823782705,1.0,1.0,0.7564525991269272,1.0,1.0,1.0,1.0,1.0
4,-260.41928542027006,-260.46793402297703,-261.4565242929991,-261.48942842172005,-261.4565014460975,-261.45608913044515,-261.2401440369621,-260.4889958133652,-261.6597744035855,-261.4893691090165,-261.4909900258067,0.9759691503139464,0.5953418882450656,0.5856274158629792,0.6000470564818535,1.0,0.5953486891426885,0.6100076923037772,0.5954714375865972,0.6101334631274441,1.0,1.0,0.6633654006936004,1.0,1.0,0.8107340693106008,0.5568890254337376,0.9895243605484715,1.0,0.9033578817795648
5,-260.3500227320006,-260.34694050935946,-260.3492952158066,-260.34691619352674,-260.34999313971133,-260.3711122893115,-259.2352726854452,-260.34362665464005,-260.2870591947435,-260.3445805145192,-260.34774415114424,1.0,1.0,1.0,1.0,1.0,1.0,0.9984748490506702,0.9895106226205945,0.9879868510506477,0.9891507455776161,0.9879748392621681,1.0,1.0,0.574544925988109,0.5910271907192601,1.0,1.0,0.9996510989277712,1.0
6,-256.0220534729094,-256.02113635350946,-256.0220494769751,-256.0170904950745,-256.0217866230464,-256.16630023234757,-253.59521749040852,-256.02054686133613,-255.89100342225373,-256.02112996316487,-256.020542972419,1.0,1.0,1.0,1.0,1.0,1.0,0.999674918082107,0.930416094252929,0.9299895407354939,0.930414235313984,0.928110139310535,1.0,1.0,0.2974037352164589,0.31730463720533625,1.0,1.0,1.0,1.0
7,-252.40089823779738,-252.40046730959722,-253.0098380962492,-253.0091625792483,-253.00982456617402,-253.00983292574867,-250.60526162574433,-252.39588979767808,-252.92991040928112,-253.0091490483371,-253.0089871828136,1.0,0.7375142055242156,0.7377633492891779,0.7376044048970714,1.0,0.7375191948524207,0.7373603030611633,0.7375161121854805,0.7373572210583554,1.0,0.9996648829141003,1.0,1.0,0.40847928088061636,0.3127583623796132,0.7656651806313309,1.0,1.0,1.0
8,-241.1859310591865,-244.01133604132608,-244.01212780197096,-244.011335573381,-244.01212730790007,-244.01696159114894,-241.75547851235706,-244.01050514070764,-243.87309575846433,-244.01133492039514,-244.01050479214373,0.2434843788534812,0.24338800725613896,0.24348443582214713,1.0,1.0,0.24338806738161084,0.9996044449655298,0.242800474386883,0.9971911772335514,0.9975860237491587,0.9971909439182235,0.7521844344055099,1.0,0.32383753822554123,0.34686881576914697,1.0,1.0,1.0,1.0
9,-249.50897129689972,-248.61754137632184,-249.50895927676962,-250.01714974006052,-247.94673870940724,-249.16327889004384,-248.01087580746292,-249.7039852124185,-250.00499363725882,-248.61752267992546,-249.59507577751833,1.0,1.0,0.7756225966853453,0.49668255371865033,1.0,1.0,1.0,1.0,0.7611926823905596,1.0,1.0,1.0,1.0,0.42889004319414503,0.36896299855139403,0.8602741061637932,0.5808737066999017,1.0,0.3573185979586492
10,-245.40121224351043,-249.7077533447085,-249.46473838816937,-250.92606396997596,-246.93429845502436,-250.17339241496947,-247.01997267990976,-249.7076039321824,-251.37774837170264,-248.03117462551504,-250.92531204337456,0.11610381274936638,0.13110417112861694,0.06313841726543457,0.5438100245831861,1.0,0.46461642524250335,1.0,0.09198864939098404,0.7922965423156273,0.7016454823602869,1.0,0.4451338666153223,1.0,0.26084846708750326,0.11316732017833403,0.43384314825347003,1.0,1.0,0.10842192412630124
11,-247.2755110849567,-247.21648552962344,-247.27516570273536,-247.2898223232935,-247.27550429597125,-247.7017160186137,-244.54598110618036,-247.2981879602329,-244.7838921983327,-247.28981550540954,-247.14845832343448,1.0,1.0,0.9928699213187984,0.9639957463946337,1.0,1.0,0.9709217672706644,0.8080733322626261,0.7845733246117629,0.8079337972299573,0.8138763345648414,1.0,1.0,0.2525607596274039,0.8878472681795393,1.0,0.9599719484567532,0.9998307177119232,1.0
12,-252.92792998061697,-253.15815772548783,-252.9279437047828,-253.15816538626913,-252.92793007254357,-252.93362544090417,-251.6043432938571,-253.15814592150718,-252.98155835969305,-252.97925004867622,-252.98865575820878,0.8912646476520877,0.9999931379406315,0.8912612337668497,0.9999961696166824,1.0,0.9999999540366968,1.0,0.9971563207936478,1.0,0.997163163386475,1.0,1.0,1.0,0.4598286707241648,0.5022749837262617,1.0,1.0,1.0,0.9735421637774344
13,-253.95792860542306,-253.95587535526658,-253.95792657345575,-254.65395109714294,-253.95792513951403,-254.00156916657625,-251.49171680264078,-253.9570178232154,-253.8700443589809,-253.95739475572464,-254.6535705373184,1.0,1.0,0.7060909355699709,0.7053664168761621,1.0,1.0,0.9989756328988301,0.9784160596212806,0.9774121085863531,0.9784150655670599,1.0,1.0,1.0,0.29151887899791923,0.3044757669244423,1.0,0.9994289291486527,1.0,1.0
14,-253.08698956986603,-253.2032734929906,-253.08687860437905,-253.75228667903704,-253.08698040015648,-253.1912891545237,-251.48186477456807,-253.7532566680576,-252.9728183447665,-253.753482543526,-253.7536263923876,0.9435159949242893,1.0,0.7170221440244025,0.7599469938842305,1.0,1.0,1.0,0.9491866753109625,1.0,0.9491340132910611,1.0,1.0,1.0,0.32119850647639625,0.4745080076502982,1.0,0.7595785131268928,0.999949103406563,1.0
15,-258.371535094886,-258.36282573046907,-258.37147947027177,-258.30020312147025,-258.3713740536076,-258.4349357959589,-257.4406287249809,-258.36254628293966,-256.29426130046,-258.362802594268,-258.3624717004785,1.0,1.0,1.0,1.0,1.0,1.0,0.9957349596594605,0.9687968380423084,0.9645872081406496,0.9687698939418123,0.9348526672491424,1.0,1.0,0.6306786740808775,1.0,1.0,1.0,1.0,1.0
16,-269.86342019976445,-273.75613873047706,-269.95951368662804,-273.7561602059541,-269.86332900806605,-269.95950685463845,-274.09436073882557,-273.756153790276,-273.7734616857689,-274.0942855139461,-274.09428384777743,0.14279299779094798,0.9530892353745927,0.14279146452530905,0.999989262319143,1.0,1.0,1.0,0.9530924911280229,1.0,1.0,1.0,0.12057657272985221,0.12651131526258608,1.0,1.0,0.991383389875788,0.9999924701288724,1.0,0.1415550857808424
17,-254.53528827891165,-254.53436891682844,-257.8669339835262,-257.8333894020126,-257.8668804413797,-257.6110323509181,-257.8597203745212,-254.53431679489105,-256.25802188064904,-257.8333874762158,-257.83337217319524,1.0,0.18903504604414575,0.19223233477572702,0.19214398952272183,1.0,0.18904010678295363,0.1889532285994194,0.21483778242043056,0.214739048259681,1.0,1.0,0.18971808956108807,1.0,1.0,1.0,0.42237888209547847,1.0,1.0,1.0
18,-249.66941467082174,-250.65365865542182,-249.66941080839615,-249.80652166279063,-249.6683362842473,-249.78893984942977,-247.39713707477705,-249.88138513859286,-250.19319120964704,-250.65365246836657,-250.652761265864,0.6113277840008466,1.0,0.933743507239256,1.0,1.0,1.0,1.0,0.9419881451004539,1.0,0.9419863259226536,1.0,1.0,1.0,0.2887702089446939,0.24708396337274766,0.8556421532391172,1.0,1.0,0.769182156741986
19,-257.6734420218305,-257.63094024686416,-257.67343535347686,-257.72281622729565,-257.6734325026303,-260.40695013648354,-255.5725085628103,-257.7603192632828,-255.84432648853826,-257.7228117801857,-257.76031405968865,1.0,1.0,0.9756151315833949,0.9551011859729497,1.0,1.0,0.9789779811362315,0.2549331162797538,0.2495727196311527,0.25493226628908283,0.2613050044293643,1.0,1.0,0.3349060111558741,0.8729220971992427,1.0,0.9373584603058435,1.0,1.0
20,-271.12567455985607,-272.94300885399076,-271.1815849796494,-272.9430226355398,-271.12585490995923,-271.1256682875715,-271.500377499054,-272.9433540580787,-272.9591592767788,-272.9843964600458,-272.99208801845424,0.4030610873265319,0.9724319211520629,0.40305830993302705,0.9999931092492126,1.0,0.9999098290140654,1.0,1.0,1.0,1.0,1.0,0.8291522633529557,0.8526584178465054,0.4860283713547757,0.482202615639602,0.992128534174847,0.9998274128509153,1.0,0.3998554455120443
